serie,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
total_internacional,-0.62980054359253124,-0.383378918883857,14.222404074970999,2,0.52943994665827743,-0.02734064580270433,0.92344497607655507,43,0.020833333333333336,3,0.36727996087804815,1,0.038461538461538464,0.80000000000000004,0.32857142857142851,0.87863436168762732,5,1.8231243476405363,0.8571428571428571,0.73809523809523814,0.073631077818515633,0.49349763997751089
aerea,-0.39822434272171936,-0.11466253893545697,6.5909442025939793,10,0.20621188623987163,-0.16277933804720951,0.9569377990430622,34,0.010204081632653059,11,0.20990087190506981,9,0.071428571428571425,0.18571428571428572,0.32380952380952377,0.75828377506408018,5,2.0008912093612303,0.8571428571428571,0.8571428571428571,0.17180584824320314,0.73867659713921496
terrestre,0.27730127190494736,-0.19302248321342508,9.5727551913538669,2,0.48415986079875373,-0.024702155434812679,0.93301435406698563,29,0.013774104683195593,3,0.33573861084319967,1,0.055555555555555552,0.21904761904761916,0.32857142857142851,0.81769313449412939,6,1.7817873914050306,0.83333333333333337,0.8571428571428571,0.098174770424687502,0.61563447568188079
maritima,-0.43237868316206912,-0.65228382563212628,2.7709736189362166,6,0.12295225192774836,-0.08227793415654476,0.66985645933014359,9,0.0083283759666864989,11,0.17106673626652411,4,0.20000000000000001,0.033333333333333437,0.42380952380952386,0.74683733340169511,5,1.843130183753835,0.8571428571428571,0.8571428571428571,0.51541754472960943,0.86904696601883513
america_centro,0.39082740870474342,0.12803478979398442,8.8659181538500054,3,0.40035303775477865,-0.064562315817785987,0.91866028708133973,42,0.013774104683195593,7,0.32002218041357006,2,0.055555555555555552,0.17142857142857149,0.32380952380952377,0.81520671634439479,6,1.8334614611794477,0.7857142857142857,0.8571428571428571,0.12271846303085937,0.63456124357746846
america_norte,0.31133410237521031,-0.23885458290137995,9.0766673229003807,2,0.27126562477826827,-0.011903529009573336,0.9425837320574163,12,0.036458333333333336,3,0.27704766455823671,1,0.038461538461538464,0.82857142857142851,0.32380952380952377,0.74046856145444984,5,2.0534240746727752,0.16666666666666666,0.73809523809523814,0.098174770424687502,0.72227009291618294
europa,0.26754617117623813,0.0082551409042319612,4.4480727214130109,2,0.34803447524426978,0.084226155735378241,0.9425837320574163,8,0.013888888888888888,8,0.22994338929461863,1,0.058823529411764705,0.81904761904761902,0.33333333333333326,0.76211693002668013,6,2.0550696516851188,0.14285714285714285,0.73809523809523814,0.17180584824320314,0.78276377190594237
