modelo,aug,params,acc_val,acc_test,f1_macro,tiempo_entreno_s
CNN2_aug,True,97885,0.8318007588386536,0.8490421175956726,0.8486292714293123,664.6
CNN1_aug,True,1145693,0.6934865713119507,0.6494252681732178,0.6400557871865202,176.6
CNN2_regularizada,False,97885,0.6789271831512451,0.6134099364280701,0.5864438172128095,263.5
CNN1_baseline,False,1145693,0.45019155740737915,0.4237547814846039,0.4123943400062898,103.4
FC_aug,True,6430749,0.1272030621767044,0.17547892034053802,0.1380572161038021,415.5
FC,False,6430749,0.15785440802574158,0.10613026469945908,0.0755934300289415,290.9
