modelo,n_imagenes_A_E,accuracy_A_E,f1_macro_A_E
CNN2_aug,450,0.8466666666666667,0.8872898616811066
CNN2_regularizada,450,0.6377777777777778,0.6935503987930983
RandomForest_HOG_color,450,0.29555555555555557,0.37580672566232537
