lago,fecha,cianobacteria_promedio,ndvi_promedio,ndwi_promedio
atitlan,2025-01-18,1511.3082275390625,0.6727717518806458,1.2684959173202515
atitlan,2025-04-13,2.8320960998535156,-0.04615483433008194,0.3644874095916748
atitlan,2025-05-13,2.806915283203125,-0.06463127583265305,0.334991991519928
atitlan,2025-07-17,-90.49678039550781,-0.06752397865056992,0.4240089952945709
atitlan,2025-11-21,-1100.4739990234375,-0.09774161130189896,0.8037604689598083
atitlan,2025-12-29,-1967.9986572265625,0.009463568218052387,0.5923818349838257
atitlan,2026-02-12,-604.35546875,0.06491005420684814,0.9553046226501465
atitlan,2026-03-24,3.4137468338012695,-0.13532648980617523,0.45563313364982605
atitlan,2026-04-13,-19.859275817871094,-0.03236672282218933,0.2503615617752075
atitlan,2026-04-28,3.1396219730377197,-0.0721711665391922,0.28636714816093445
atitlan,2026-07-22,2.543058156967163,-0.09634963423013687,0.4589608311653137
amatitlan,2025-01-28,14.648438453674316,-0.34851452708244324,0.5676482915878296
amatitlan,2025-04-15,7.788650035858154,-0.08962669968605042,0.2742652893066406
amatitlan,2025-04-28,11.258584022521973,-0.061093688011169434,0.2753320038318634
amatitlan,2025-11-24,10.439148902893066,-0.371450811624527,0.5083879828453064
amatitlan,2026-01-08,15.624823570251465,-0.13384385406970978,0.38239723443984985
amatitlan,2026-02-02,5.912590026855469,-0.06351885199546814,0.17386409640312195
amatitlan,2026-02-07,-158.33660888671875,-0.6014757752418518,0.6990843415260315
amatitlan,2026-03-29,12.993172645568848,-0.07105135917663574,0.2975287437438965
amatitlan,2026-04-13,15.774341583251953,-0.02684951387345791,0.26775065064430237
amatitlan,2026-04-28,15.655455589294434,-0.04449162259697914,0.3061425983905792
amatitlan,2026-06-19,53.42551040649414,-0.2420419156551361,0.5565144419670105
