lago,fecha,promedio_cyano,mediana_cyano,maximo_cyano,pixeles_validos
amatitlan,2025-01-28,4.429233129506931,4.489111423492432,22.354576110839844,147442
amatitlan,2025-04-15,4.536977605370693,4.575728416442871,27.112144470214844,144535
amatitlan,2025-04-28,5.773148536866629,4.869077205657959,42.774620056152344,144731
amatitlan,2025-11-24,4.731505763484611,4.038784980773926,126.08416748046875,147330
amatitlan,2026-01-08,6.81694802185653,4.891778469085693,137.77012634277344,148399
amatitlan,2026-02-02,4.2908619986999135,4.394993305206299,19.14080047607422,145496
amatitlan,2026-02-07,4.306511537029167,4.449462890625,17.599584579467773,146746
amatitlan,2026-03-29,6.435742051002869,5.240433692932129,58.398902893066406,146463
amatitlan,2026-04-13,6.736214722762596,6.398185729980469,45.34669876098633,147301
amatitlan,2026-04-28,10.030859056986392,6.467230796813965,50.366485595703125,141031
amatitlan,2026-06-19,11.513505002503004,10.673323154449463,92.23837280273438,147050
atitlan,2025-01-18,0.7109180944277926,0.43181324005126953,30.66293716430664,1245206
atitlan,2025-04-13,1.7919065408948087,1.7752902507781982,23.67352294921875,1220349
atitlan,2025-05-13,1.353840142368477,1.3080518245697021,17.616254806518555,1220129
atitlan,2025-07-17,1.2839579096530316,1.2030515670776367,139.26466369628906,1194184
atitlan,2025-11-21,0.6487433642885367,0.3293476104736328,83.221435546875,1230222
atitlan,2025-12-29,0.7882831078642736,0.5524959564208984,28.27751922607422,1249529
atitlan,2026-02-12,1.0065573294347732,0.929990291595459,27.251480102539062,1227907
atitlan,2026-03-24,1.300401760576751,1.2789466381072998,14.174520492553711,1222517
atitlan,2026-04-13,2.1501342572957025,2.2226614952087402,22.92217254638672,1217818
atitlan,2026-04-28,1.8683561008479803,1.896073579788208,14.942900657653809,1217073
atitlan,2026-07-22,1.279740972887284,1.1509366035461426,24.915847778320312,1216756
