lago,fecha,promedio_cyano,mediana_cyano,maximo_cyano,pixeles_validos
amatitlan,2025-01-28,4.429233129506931,4.489111423492432,22.354576110839844,147442
amatitlan,2025-04-15,4.536977605370693,4.575728416442871,27.112144470214844,144535
amatitlan,2025-04-28,5.773148536866629,4.869077205657959,42.774620056152344,144731
amatitlan,2025-11-24,4.731505763484611,4.038784980773926,126.08416748046875,147330
amatitlan,2026-01-08,6.81694802185653,4.891778469085693,137.77012634277344,148399
amatitlan,2026-02-02,4.2908619986999135,4.394993305206299,19.14080047607422,145496
amatitlan,2026-02-07,4.306511537029167,4.449462890625,17.599584579467773,146746
amatitlan,2026-03-29,6.435742051002869,5.240433692932129,58.398902893066406,146463
amatitlan,2026-04-13,6.736214722762596,6.398185729980469,45.34669876098633,147301
amatitlan,2026-04-28,10.030859056986392,6.467230796813965,50.366485595703125,141031
amatitlan,2026-06-19,11.513505002503004,10.673323154449463,92.23837280273438,147050
