lago,fecha,promedio_cyano,mediana_cyano,maximo_cyano,pixeles_validos
atitlan,2025-01-18,0.7109180944277926,0.43181324005126953,30.66293716430664,1245206
atitlan,2025-04-13,1.7919065408948087,1.7752902507781982,23.67352294921875,1220349
atitlan,2025-05-13,1.353840142368477,1.3080518245697021,17.616254806518555,1220129
atitlan,2025-07-17,1.2839579096530316,1.2030515670776367,139.26466369628906,1194184
atitlan,2025-11-21,0.6487433642885367,0.3293476104736328,83.221435546875,1230222
atitlan,2025-12-29,0.7882831078642736,0.5524959564208984,28.27751922607422,1249529
atitlan,2026-02-12,1.0065573294347732,0.929990291595459,27.251480102539062,1227907
atitlan,2026-03-24,1.300401760576751,1.2789466381072998,14.174520492553711,1222517
atitlan,2026-04-13,2.1501342572957025,2.2226614952087402,22.92217254638672,1217818
atitlan,2026-04-28,1.8683561008479803,1.896073579788208,14.942900657653809,1217073
atitlan,2026-07-22,1.279740972887284,1.1509366035461426,24.915847778320312,1216756
