lago,modelo,n_test,positivos_reales,precision,recall,pr_auc
amatitlan,Regresión Logística,19765,1769,0.6811352253756261,0.9225551158846806,0.8502144113194152
amatitlan,Random Forest,19765,1769,0.8071895424836601,0.9773883550028265,0.9690673527627293
amatitlan,XGBoost,19765,1769,0.7721801159161836,0.9790842283776144,0.9620732592201774
atitlan,Regresión Logística,160235,37,0.20134228187919462,0.8108108108108109,0.32682626818830135
atitlan,Random Forest,160235,37,0.6739130434782609,0.8378378378378378,0.7609612524719405
atitlan,XGBoost,160235,37,0.45714285714285713,0.8648648648648649,0.6589527352759894
