umbral,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,balanced_accuracy,specificity,tn,fp,fn,tp,modelo,fold,tipo_umbral
0.5,0.9787471363975667,0.43441304847231793,0.9921301154249738,0.6042498801725515,0.7894297403356433,0.9979293033945911,0.8760473719506977,0.9853273763887254,0.9785246373524769,112181,2462,15,1891,Regresión Logística,1,0.5
0.9515809727169995,0.992629709392616,0.7003444316877153,0.9601259181532005,0.8099136977207346,0.8938165478167431,0.9979293033945911,0.8760473719506977,0.9766480100609604,0.9931701019687202,113860,783,76,1830,Regresión Logística,1,operativo_F2
0.5,0.9750992283513945,0.2663509246729815,0.9974662162162162,0.4204343182627269,0.6439476553980371,0.9973185922271876,0.7399384918100582,0.9861805323797654,0.9748948485433147,126322,3253,3,1181,Regresión Logística,2,0.5
0.9515809727169995,0.9941189516591592,0.6217008797653959,0.8952702702702703,0.7338179300796123,0.8228535941623971,0.9973185922271876,0.7399384918100582,0.9451462290961616,0.9950221879220529,128930,645,124,1060,Regresión Logística,2,operativo_F2
0.5,0.9844030469869522,0.343460185481292,0.9862258953168044,0.5094876660341556,0.717626620339436,0.9972308359475827,0.8575226265011952,0.9853069233696135,0.9843879514224226,129448,2053,15,1074,Regresión Logística,3,0.5
0.9515809727169995,0.9955124820876385,0.6618610747051114,0.9274563820018366,0.7724665391969407,0.8585515130907855,0.9972308359475827,0.8575226265011952,0.9617662287344717,0.9960760754671067,130985,516,79,1010,Regresión Logística,3,operativo_F2
0.5,0.9801426415317688,0.3017875920084122,0.9761904761904762,0.4610441767068273,0.6746591443347437,0.9974867166385384,0.8656511476231455,0.9781839027517745,0.9801773293130728,98499,1992,21,861,Regresión Logística,4,0.5
0.9515809727169995,0.9963303838300139,0.7374301675977654,0.8979591836734694,0.8098159509202454,0.8604954367666232,0.9974867166385384,0.8656511476231455,0.947576481110401,0.9971937785473326,100209,282,90,792,Regresión Logística,4,operativo_F2
0.5,0.9848815369454809,0.3450573861532766,0.9728601252609603,0.5094288056846132,0.7133016990662789,0.996550247570969,0.6768015609092242,0.9789197247714148,0.9849793242818691,116002,1769,26,932,Regresión Logística,5,0.5
0.9515809727169995,0.9923607543228697,0.5156923076923077,0.8747390396659708,0.6488579171506,0.7678211471504489,0.996550247570969,0.6768015609092242,0.9340282898188053,0.9933175399716399,116984,787,120,838,Regresión Logística,5,operativo_F2
0.5,0.9953410153669272,0.8287506029908346,0.9013641133263379,0.8635335511435034,0.885840981746932,0.998047442391513,0.8921408376800846,0.9491337719881343,0.9969034306499307,114288,355,188,1718,Random Forest,1,0.5
0.42918437940631704,0.9951865738873779,0.8132277596646483,0.9160545645330536,0.8615840118430792,0.893460239484188,0.998047442391513,0.8921408376800846,0.95627837478853,0.9965021850440062,114242,401,160,1746,Random Forest,1,operativo_F2
0.5,0.9960614565727789,0.7472283813747228,0.8538851351351351,0.7970043358297202,0.8301855805550994,0.998093614910492,0.8605688792788329,0.9256228685515537,0.9973606019679723,129233,342,173,1011,Random Forest,2,0.5
0.42918437940631704,0.9958090838871512,0.7175102599179206,0.8859797297297297,0.7928949357520786,0.8462407228138109,0.998093614910492,0.8605688792788329,0.9413961932461112,0.9968126567624928,129162,413,135,1049,Random Forest,2,operativo_F2
0.5,0.9972320687834678,0.8444656488549618,0.8126721763085399,0.8282639213851193,0.8188378978534419,0.9980762103929502,0.9008786891186817,0.9057163210042103,0.9987604656998806,131338,163,204,885,Random Forest,3,0.5
0.42918437940631704,0.997035975563768,0.8090586145648313,0.8365472910927456,0.8225733634311513,0.830901130974097,0.9980762103929502,0.9008786891186817,0.9174561612686867,0.9983650314446278,131286,215,178,911,Random Forest,3,operativo_F2
0.5,0.9974056208260582,0.8345945945945946,0.8752834467120182,0.8544548976203652,0.8668313496519201,0.9965733892844637,0.9188846629843441,0.9368804611534238,0.9984774755948294,100338,153,110,772,Random Forest,4,0.5
0.42918437940631704,0.9973464334684778,0.8243386243386244,0.8832199546485261,0.8527640941434045,0.8707802369774201,0.9965733892844637,0.9188846629843441,0.9407840327123078,0.9983481107760894,100325,166,103,779,Random Forest,4,operativo_F2
0.5,0.9944832349299666,0.6743383199079401,0.6116910229645094,0.6414887794198139,0.6232716443309934,0.99781948297844,0.788678376859986,0.8046440272458977,0.997597031527286,117488,283,372,586,Random Forest,5,0.5
0.42918437940631704,0.993961037320284,0.6230847803881512,0.6367432150313153,0.6298399586990191,0.6339638328829765,0.99781948297844,0.788678376859986,0.8168050079283229,0.9968668008253305,117402,369,348,610,Random Forest,5,operativo_F2
0.5,0.9933761765437713,0.7197674418604652,0.9742917103882477,0.8279090503789568,0.909937279498236,0.9985546581902838,0.9005204403042395,0.9839925880953913,0.9936934658025348,113920,723,49,1857,XGBoost,1,0.5
0.8172274827957153,0.9949463315858565,0.7808102345415778,0.9606505771248688,0.861444366031522,0.9183468753134718,0.9985546581902838,0.9005204403042395,0.9780835468075955,0.9955165164903221,114129,514,75,1831,XGBoost,1,operativo_F2
0.5,0.9946542876589757,0.6384922901199315,0.9442567567567568,0.761839863713799,0.8617234468937875,0.9987564725636305,0.9002841465321372,0.969685777568037,0.995114798379317,128942,633,66,1118,XGBoost,2,0.5
0.8172274827957153,0.9957402549728891,0.7016077170418007,0.9214527027027027,0.796641109894122,0.8671117469400731,0.9987564725636305,0.9002841465321372,0.9589358825109116,0.9964190623191203,129111,464,93,1091,XGBoost,2,operativo_F2
0.5,0.9954295195716117,0.6500932256059664,0.960514233241506,0.7753891771682728,0.8767812238055323,0.9990282678720582,0.9255726668257347,0.9781164484889517,0.9957186637363974,130938,563,43,1046,XGBoost,3,0.5
0.8172274827957153,0.9969454710008296,0.7705696202531646,0.8943985307621671,0.8278793030174245,0.8665480427046264,0.9990282678720582,0.9255726668257347,0.9460966121693208,0.9977946935764747,131211,290,115,974,XGBoost,3,operativo_F2
0.5,0.9961824154360629,0.7050538525269263,0.9648526077097506,0.8147438966012446,0.8986272439281943,0.9992767653677587,0.9456778118543329,0.9806550009521278,0.996457394194505,100135,356,31,851,XGBoost,4,0.5
0.8172274827957153,0.9972773815513006,0.7863894139886578,0.9433106575963719,0.8577319587628865,0.907108591365024,0.9992767653677587,0.9456778118543329,0.9705308499891383,0.9977510423819048,100265,226,50,832,XGBoost,4,operativo_F2
0.5,0.9940368401991089,0.5796178343949044,0.9498956158663883,0.7199367088607594,0.8422806368011847,0.9985228445444415,0.8334610295933352,0.9721457598908068,0.9943959039152254,117111,660,48,910,XGBoost,5,0.5
0.8172274827957153,0.9956876584490731,0.6849087893864013,0.8622129436325678,0.7634011090573013,0.8197697499007542,0.9985228445444415,0.8334610295933352,0.9294931714282427,0.9967733992239176,117391,380,132,826,XGBoost,5,operativo_F2
