lago,bloque_id,bloque_x,bloque_y,n_alta_cyano_0,n_alta_cyano_1,n_total
atitlan,atitlan_688_1627,688,1627,103941,7,103948
atitlan,atitlan_693_1625,693,1625,103907,0,103907
atitlan,atitlan_701_1622,701,1622,103855,0,103855
atitlan,atitlan_690_1622,690,1622,103696,0,103696
atitlan,atitlan_692_1625,692,1625,103671,0,103671
atitlan,atitlan_694_1629,694,1629,103515,0,103515
atitlan,atitlan_692_1624,692,1624,103504,0,103504
atitlan,atitlan_701_1624,701,1624,103417,0,103417
atitlan,atitlan_698_1623,698,1623,103055,0,103055
atitlan,atitlan_693_1623,693,1623,102768,0,102768
atitlan,atitlan_688_1624,688,1624,102076,0,102076
atitlan,atitlan_697_1629,697,1629,101880,1,101881
atitlan,atitlan_687_1627,687,1627,101789,34,101823
atitlan,atitlan_699_1622,699,1622,100702,0,100702
atitlan,atitlan_690_1628,690,1628,100067,0,100067
atitlan,atitlan_687_1625,687,1625,99076,0,99076
atitlan,atitlan_691_1622,691,1622,98929,0,98929
atitlan,atitlan_700_1621,700,1621,98661,0,98661
atitlan,atitlan_700_1626,700,1626,98524,0,98524
atitlan,atitlan_689_1623,689,1623,98448,0,98448
atitlan,atitlan_693_1629,693,1629,98425,0,98425
atitlan,atitlan_701_1625,701,1625,95775,0,95775
atitlan,atitlan_699_1628,699,1628,95406,0,95406
atitlan,atitlan_694_1623,694,1623,93661,0,93661
atitlan,atitlan_685_1626,685,1626,93317,2,93319
atitlan,atitlan_692_1629,692,1629,91003,0,91003
atitlan,atitlan_689_1618,689,1618,86317,5,86322
atitlan,atitlan_695_1623,695,1623,83319,0,83319
atitlan,atitlan_697_1623,697,1623,82987,0,82987
atitlan,atitlan_700_1627,700,1627,81506,0,81506
atitlan,atitlan_699_1621,699,1621,79344,11,79355
atitlan,atitlan_686_1627,686,1627,79085,1,79086
atitlan,atitlan_688_1617,688,1617,78841,190,79031
atitlan,atitlan_692_1622,692,1622,78592,0,78592
atitlan,atitlan_689_1628,689,1628,78354,2,78356
atitlan,atitlan_696_1623,696,1623,76638,1,76639
atitlan,atitlan_690_1621,690,1621,75571,18,75589
atitlan,atitlan_698_1622,698,1622,74838,0,74838
atitlan,atitlan_686_1625,686,1625,70259,1,70260
atitlan,atitlan_693_1622,693,1622,67415,1,67416
atitlan,atitlan_698_1629,698,1629,66011,0,66011
atitlan,atitlan_691_1629,691,1629,65973,0,65973
atitlan,atitlan_700_1620,700,1620,65711,0,65711
atitlan,atitlan_701_1621,701,1621,62129,0,62129
atitlan,atitlan_687_1624,687,1624,62107,0,62107
atitlan,atitlan_697_1630,697,1630,59891,3,59894
atitlan,atitlan_696_1630,696,1630,59176,2,59178
atitlan,atitlan_702_1622,702,1622,57859,0,57859
atitlan,atitlan_689_1622,689,1622,54468,0,54468
atitlan,atitlan_702_1623,702,1623,52487,0,52487
atitlan,atitlan_685_1625,685,1625,48761,1,48762
atitlan,atitlan_689_1617,689,1617,46190,583,46773
atitlan,atitlan_689_1619,689,1619,44821,9,44830
atitlan,atitlan_690_1620,690,1620,44404,97,44501
atitlan,atitlan_702_1624,702,1624,43691,1,43692
atitlan,atitlan_688_1616,688,1616,42416,754,43170
atitlan,atitlan_688_1623,688,1623,41345,0,41345
atitlan,atitlan_695_1630,695,1630,40706,1,40707
atitlan,atitlan_691_1621,691,1621,37200,45,37245
atitlan,atitlan_694_1630,694,1630,37176,0,37176
atitlan,atitlan_700_1619,700,1619,36890,202,37092
atitlan,atitlan_700_1628,700,1628,35333,2,35335
atitlan,atitlan_688_1618,688,1618,33197,6,33203
atitlan,atitlan_702_1625,702,1625,33041,0,33041
atitlan,atitlan_693_1630,693,1630,32058,0,32058
atitlan,atitlan_684_1626,684,1626,31925,6,31931
atitlan,atitlan_699_1629,699,1629,31909,0,31909
atitlan,atitlan_701_1626,701,1626,31850,0,31850
atitlan,atitlan_688_1628,688,1628,31250,0,31250
atitlan,atitlan_690_1619,690,1619,26841,14,26855
atitlan,atitlan_687_1628,687,1628,26613,4,26617
atitlan,atitlan_689_1621,689,1621,25682,0,25682
atitlan,atitlan_685_1627,685,1627,24603,45,24648
atitlan,atitlan_690_1629,690,1629,20374,0,20374
atitlan,atitlan_697_1622,697,1622,19591,0,19591
atitlan,atitlan_690_1618,690,1618,18835,28,18863
atitlan,atitlan_702_1621,702,1621,18215,0,18215
atitlan,atitlan_689_1629,689,1629,14289,2,14291
atitlan,atitlan_686_1628,686,1628,13846,4,13850
atitlan,atitlan_692_1630,692,1630,11633,0,11633
atitlan,atitlan_694_1622,694,1622,10823,0,10823
atitlan,atitlan_684_1625,684,1625,10257,2,10259
atitlan,atitlan_701_1620,701,1620,10253,0,10253
atitlan,atitlan_689_1620,689,1620,9992,4,9996
atitlan,atitlan_698_1621,698,1621,8693,1,8694
atitlan,atitlan_697_1631,697,1631,8426,0,8426
atitlan,atitlan_701_1627,701,1627,8201,0,8201
atitlan,atitlan_692_1621,692,1621,6751,0,6751
atitlan,atitlan_686_1624,686,1624,4802,0,4802
atitlan,atitlan_699_1620,699,1620,4646,0,4646
atitlan,atitlan_687_1623,687,1623,4631,0,4631
atitlan,atitlan_700_1618,700,1618,3414,498,3912
atitlan,atitlan_695_1622,695,1622,2771,0,2771
atitlan,atitlan_707_1615,707,1615,2158,0,2158
atitlan,atitlan_705_1618,705,1618,2146,0,2146
atitlan,atitlan_696_1631,696,1631,2028,0,2028
atitlan,atitlan_693_1621,693,1621,1971,0,1971
atitlan,atitlan_696_1622,696,1622,1670,0,1670
atitlan,atitlan_706_1619,706,1619,1645,0,1645
atitlan,atitlan_684_1627,684,1627,1491,0,1491
atitlan,atitlan_704_1618,704,1618,1347,0,1347
atitlan,atitlan_699_1619,699,1619,1015,6,1021
atitlan,atitlan_682_1618,682,1618,955,0,955
atitlan,atitlan_689_1616,689,1616,667,183,850
atitlan,atitlan_701_1619,701,1619,565,0,565
atitlan,atitlan_703_1614,703,1614,431,0,431
atitlan,atitlan_687_1617,687,1617,376,15,391
atitlan,atitlan_681_1618,681,1618,343,0,343
atitlan,atitlan_706_1615,706,1615,340,0,340
atitlan,atitlan_683_1622,683,1622,333,0,333
atitlan,atitlan_703_1616,703,1616,316,0,316
atitlan,atitlan_706_1614,706,1614,279,0,279
atitlan,atitlan_703_1615,703,1615,216,0,216
atitlan,atitlan_703_1624,703,1624,175,0,175
atitlan,atitlan_706_1622,706,1622,169,0,169
