modelo,precision,recall,f1,f2,pr_auc,roc_auc,validacion
Random Forest,0.8043875685557587,0.97452934662237,0.8813219829744617,0.9349766255843605,0.9666614054400569,0.9996466298610605,Aleatoria (70/30)
Random Forest,0.7574440077748352,0.8317089510070741,0.7919312727737465,0.8150692326264984,0.8722302891843858,0.9977220279915718,Espacial (media 5-fold)
Regresión Logística,0.6530451866404715,0.920265780730897,0.7639623075155136,0.8506500153546934,0.8213130293524128,0.9978054732762236,Aleatoria (70/30)
Regresión Logística,0.6474057722896591,0.9111101587529495,0.7549744070136266,0.8407076477973996,0.8031922397588641,0.9973031391557738,Espacial (media 5-fold)
XGBoost,0.7626459143968871,0.9767441860465116,0.8565185724690458,0.9248191255111672,0.9591975863019436,0.999582304756232,Aleatoria (70/30)
XGBoost,0.7448571550423204,0.9164050823637357,0.8214195693526513,0.87577700124479,0.9011032190219559,0.9988278017076345,Espacial (media 5-fold)
