umbral,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,balanced_accuracy,specificity,tn,fp,fn,tp,modelo,tipo_umbral,segundos_ajuste_final
0.5,0.9806833333333334,0.3407661520869068,0.9900332225913622,0.5070182900893236,0.7168631224440702,0.9978054732762236,0.8213130293524128,0.9853108972985768,0.9805885720057914,174735,3459,18,1788,Regresión Logística,0.5,1.363594299997203
0.5,0.9976888888888888,0.830952380952381,0.9662236987818384,0.8934971838197645,0.9357571857571858,0.9996466298610605,0.9666614054400569,0.9821157440226128,0.9980077892633872,177839,355,61,1745,Random Forest,0.5,32.37033780000638
0.5,0.9955611111111112,0.6956859696851924,0.991140642303433,0.8175382507421786,0.913544962743697,0.999582304756232,0.9591975863019436,0.9933732774802124,0.9956059126569918,177411,783,16,1790,XGBoost,0.5,5.486244400031865
