modelo,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f2_mean,f2_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,specificity_mean,specificity_std
Random Forest,0.9958678208254117,0.0013833159070602194,0.7574440077748352,0.08645503243891127,0.8317089510070741,0.11263650738075658,0.7919312727737465,0.09455897191741988,0.8150692326264984,0.10400762301869756,0.9977220279915718,0.0006515913016186438,0.8722302891843858,0.05126085711561673,0.9145439539887917,0.05637536893957012,0.9973789569705094,0.0009032345793212597
Regresión Logística,0.9941904562584595,0.001740394722798413,0.6474057722896591,0.08533028101632127,0.9111101587529495,0.0332281966122515,0.7549744070136266,0.067156908108715,0.8407076477973996,0.04785844907099253,0.9973031391557738,0.000499523431870926,0.8031922397588641,0.08963316449772303,0.95303304776416,0.016485537199692944,0.9949559367753704,0.0017421671663920666
XGBoost,0.9961194195119898,0.0009656028935723723,0.7448571550423204,0.04780952770646504,0.9164050823637357,0.039141181861287414,0.8214195693526513,0.04166058065205767,0.87577700124479,0.039022221966147845,0.9988278017076345,0.0003218886260916499,0.9011032190219559,0.04231466797538665,0.9566280125810417,0.019404671470908862,0.9968509427983478,0.0009583934626966493
