lago,bloque_x,bloque_y,n,positivos,fp,fn,tp,errores,x_centro,y_centro,tasa_error_pct,tasa_fp_pct,tasa_fn_pct
atitlan,681,1618,343,0,0,0,0,0,681500.0,1618500.0,0.0,0.0,
atitlan,681,1630,100,0,0,0,0,0,681500.0,1630500.0,0.0,0.0,
atitlan,682,1617,27,0,0,0,0,0,682500.0,1617500.0,0.0,0.0,
atitlan,682,1618,955,0,0,0,0,0,682500.0,1618500.0,0.0,0.0,
atitlan,682,1624,60,0,0,0,0,0,682500.0,1624500.0,0.0,0.0,
atitlan,682,1631,19,0,0,0,0,0,682500.0,1631500.0,0.0,0.0,
atitlan,683,1614,15,0,5,0,0,5,683500.0,1614500.0,33.333333333333336,33.333333333333336,
atitlan,683,1618,84,0,0,0,0,0,683500.0,1618500.0,0.0,0.0,
atitlan,683,1622,333,0,0,0,0,0,683500.0,1622500.0,0.0,0.0,
atitlan,683,1630,3,0,0,0,0,0,683500.0,1630500.0,0.0,0.0,
atitlan,684,1625,10259,2,19,1,1,20,684500.0,1625500.0,0.19495077492933036,0.1852393487374476,50.0
atitlan,684,1626,31931,6,24,6,0,30,684500.0,1626500.0,0.09395258526197113,0.07517619420516837,100.0
atitlan,684,1627,1491,0,0,0,0,0,684500.0,1627500.0,0.0,0.0,
atitlan,685,1624,41,0,0,0,0,0,685500.0,1624500.0,0.0,0.0,
atitlan,685,1625,48762,1,0,1,0,1,685500.0,1625500.0,0.002050777244575694,0.0,100.0
atitlan,685,1626,93319,2,1,1,1,2,685500.0,1626500.0,0.0021431862750350946,0.0010716161042468146,50.0
atitlan,685,1627,24648,45,0,45,0,45,685500.0,1627500.0,0.18257059396299902,0.0,100.0
atitlan,686,1622,43,0,0,0,0,0,686500.0,1622500.0,0.0,0.0,
atitlan,686,1624,4802,0,0,0,0,0,686500.0,1624500.0,0.0,0.0,
atitlan,686,1625,70260,1,0,1,0,1,686500.0,1625500.0,0.0014232849416453174,0.0,100.0
atitlan,686,1626,109433,2,0,2,0,2,686500.0,1626500.0,0.0018276022771924374,0.0,100.0
atitlan,686,1627,79086,1,0,1,0,1,686500.0,1627500.0,0.001264446298965683,0.0,100.0
atitlan,686,1628,13850,4,4,4,0,8,686500.0,1628500.0,0.05776173285198556,0.02888920988010978,100.0
atitlan,687,1617,391,15,24,0,15,24,687500.0,1617500.0,6.138107416879795,6.382978723404255,0.0
atitlan,687,1622,156,0,0,0,0,0,687500.0,1622500.0,0.0,0.0,
atitlan,687,1623,4631,0,0,0,0,0,687500.0,1623500.0,0.0,0.0,
atitlan,687,1624,62107,0,0,0,0,0,687500.0,1624500.0,0.0,0.0,
atitlan,687,1625,99076,0,0,0,0,0,687500.0,1625500.0,0.0,0.0,
atitlan,687,1626,109955,0,0,0,0,0,687500.0,1626500.0,0.0,0.0,
atitlan,687,1627,101823,34,8,28,6,36,687500.0,1627500.0,0.035355469785804776,0.007859395416007624,82.3529411764706
atitlan,687,1628,26617,4,12,4,0,16,687500.0,1628500.0,0.06011195852274862,0.04509074512456318,100.0
atitlan,688,1616,43170,754,833,168,586,1001,688500.0,1616500.0,2.3187398656474403,1.9638815541305168,22.281167108753316
atitlan,688,1617,79031,190,296,18,172,314,688500.0,1617500.0,0.39731244701446267,0.3754391750485154,9.473684210526315
atitlan,688,1618,33203,6,15,5,1,20,688500.0,1618500.0,0.060235520886666866,0.04518480585595084,83.33333333333333
atitlan,688,1623,41345,0,0,0,0,0,688500.0,1623500.0,0.0,0.0,
atitlan,688,1624,102076,0,0,0,0,0,688500.0,1624500.0,0.0,0.0,
atitlan,688,1625,109911,0,0,0,0,0,688500.0,1625500.0,0.0,0.0,
atitlan,688,1626,109853,0,0,0,0,0,688500.0,1626500.0,0.0,0.0,
atitlan,688,1627,103948,7,0,7,0,7,688500.0,1627500.0,0.00673413629891869,0.0,100.0
atitlan,688,1628,31250,0,0,0,0,0,688500.0,1628500.0,0.0,0.0,
atitlan,689,1616,850,183,90,8,175,98,689500.0,1616500.0,11.529411764705882,13.493253373313344,4.371584699453552
atitlan,689,1617,46773,583,838,36,547,874,689500.0,1617500.0,1.868599405640006,1.8142455076856463,6.174957118353345
atitlan,689,1618,86322,5,12,5,0,17,689500.0,1618500.0,0.019693704965130558,0.013902244053894366,100.0
atitlan,689,1619,44830,9,6,9,0,15,689500.0,1619500.0,0.03345973678340397,0.013386582182459115,100.0
atitlan,689,1620,9996,4,8,0,4,8,689500.0,1620500.0,0.08003201280512205,0.08006405124099279,0.0
atitlan,689,1621,25682,0,0,0,0,0,689500.0,1621500.0,0.0,0.0,
atitlan,689,1622,54468,0,0,0,0,0,689500.0,1622500.0,0.0,0.0,
